"CODIGO__C","CREATEDBYID","CREATEDDATE","CURRENCYISOCODE","ID","ISDELETED","LASTACTIVITYDATE","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","NIVEL_RIESGO__C","NOMBRE_LARGO__C","OWNERID","SYSTEMMODSTAMP"
"COM319","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkYAAQ","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Comercio de vehiculos automotores usados  incluye el comercio al por mayor y al","2.0","Comercio de vehiculos automotores usados  incluye el comercio al por mayor y al por menor de vehiculos automotores usados para pasajeros  incluso vehiculos especiales (ambulancias  casas  rodantes  microbuses  vehiculos de camping  caravanas  entre otros)  los vehiculos con traccion tipo campero (todo terreno)  y otros  vehiculos  automotores  para  pasajeros  con  mecanismos  de  conduccion similares a los de los automoviles  asi como el comercio de camiones  remolques y  semirremolques  Incluye  las  actividades  de  venta  de  vehiculos  usados  por consignacion   por  comision  o  por  contrata  (intermediarios)   como  tambien  la compraventa de contenedores especialmente disenados y equipados para su uso en uno o mas medios de transporte, subasta de vehiculos automotores usados","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON327","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkZAAQ","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Confeccion de prendas de vestir  excepto prendas de piel  incluye confeccion de","3.0","Confeccion de prendas de vestir  excepto prendas de piel  incluye confeccion de chalecos antibalas especiales para dama y para caballero y confeccion de partes de los productos mencionados.","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON334","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkaAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Confeccion de prendas de vestir  excepto prendas de piel  incluye la manufactura","2.0","Confeccion de prendas de vestir  excepto prendas de piel  incluye la manufactura y  confeccion  de  guantes  de  tela  o  piel   chales   ligas   sujetadores   tirantas  encauchados   fabricas  y/o  grandes  almacenes  de  confeccion  de  ropas  y sastrerias  ropa de trabajo y confeccion de partes de los productos mencionados","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON335","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkbAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Confeccion de prendas de vestir  excepto prendas de piel  incluye pequenos talle","1.0","Confeccion de prendas de vestir  excepto prendas de piel  incluye pequenos talleres  confeccion de prendas de vestir sobre medidas y/o en serie  sombreros y gorros  incluso de piel  confeccion de ropa y confeccion de partes de los productos mencionados.","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON336","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkcAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Construccion  de  barcos  y  de  estructuras  flotantes   incluye  construccion","4.0","Construccion  de  barcos  y  de  estructuras  flotantes   incluye  construccion  de embarcaciones disenadas para la navegacion maritima  costera o fluvial tales como: barcos (excepto yates y otras embarcaciones para deportes o recreo)  incluida la fabricacion de secciones de buques y barcos, sillas y asientos utilizados en embarcaciones y estructuras flotantes, buques  embarcaciones de fondeo fijo (por ejemplo: barcos faros), aerodeslizadores (excepto los de tipo recreativo), embarcaciones  para  uso  comercial  (barco  transbordador  o  ferry   barcos mercantes   petroleros   remolcadores   entre  otros)  o  para  el  transporte  de pasajeros  particularmente las embarcaciones de usos multiples, barcos para pesca y embarcaciones pesqueras para el procesamiento de pescado (barcos factoria)","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON337","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkdAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Construccion  de  carreteras  y  vias  de  ferrocarril   incluye  la  construcci","0.0","Construccion  de  carreteras  y  vias  de  ferrocarril   incluye  la  construccion  conservacion y reparacion de carreteras  calles y otras vias  puentes y viaductos  tuneles  lineas de ferrocarril y de metro  pistas de aeropuertos","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON338","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkeAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Construccion  de  edificios  no  residenciales   incluye  montaje  de  cubiertas","4.0","Construccion  de  edificios  no  residenciales   incluye  montaje  de  cubiertas metalicas  puertas  ventanas y demas elementos metalicos","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON339","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkfAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Construccion  de  otras  obras  de  ingenieria  civil   incluye  la  construccio","4.0","Construccion  de  otras  obras  de  ingenieria  civil   incluye  la  construccion  conservacion y reparacion de instalaciones industriales (excepto edificios) como refinerias  fabricas de productos quimicos  vias de navegacion  obras portuarias y  fluviales   puertos  deportivos   instalaciones  deportivas  o  de  esparcimiento  esclusas  represas y diques  subdivision de terrenos con mejora","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON340","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkgAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Construccion de barcos y de estructuras flotantes  incluye la construccion de bu","4.0","Construccion de barcos y de estructuras flotantes  incluye la construccion de buques de guerra o combate  embarcaciones navales auxiliares y artefactos  como los barcos para el transporte de tropas (nodrizas)  y barcos hospitales y logisticos, estructuras flotantes: puertos flotantes  pontones  balsas inflables para uso  no  recreativo   diques  flotantes   plataformas  de  perforacion  flotante  o sumergible  pistas flotantes  barcazas  boyas  embarcaderos  depositos flotantes  gruas flotantes  entre otros, reconstruccion o conversion de embarcaciones o estructuras flotantes","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON341","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkhAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Construccion de barcos y de estructuras flotantes  incluye la construccion de em","4.0","Construccion de barcos y de estructuras flotantes  incluye la construccion de embarcaciones no motorizadas para transporte de carga en puertos (por ejemplo  gabarras), embarcaciones cuyo uso principal no es la navegacion (por ejemplo  dragas), embarcaciones disenadas o equipadas para la investigacion cientifica","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON342","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkiAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Construccion de carreteras y vias de ferrocarril  incluye las obras de superfici","4.0","Construccion de carreteras y vias de ferrocarril  incluye las obras de superficie en calles  carreteras  autopistas  puentes o tuneles como asfaltado  pintura y otros tipos de marcado e instalacion de barreras de emergencia  senales de trafico similares y otros trabajos de acondicionamiento.","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON343","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkjAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Construccion de edificios no residenciales  incluye construccion de todo tipo de","4.0","Construccion de edificios no residenciales  incluye construccion de todo tipo de edificios  no  residenciales   reforma  o  renovacion  de  estructuras  existentes  construcciones prefabricadas","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON344","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkkAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Construccion de edificios residenciales  incluye la construccion de todo tipo de","4.0","Construccion de edificios residenciales  incluye la construccion de todo tipo de edificios residenciales  casas y edificios  montaje de cubiertas metalicas  puertas  ventanas   construcciones  prefabricadas   reforma  o  renovacion  de  estructuras residenciales existentes","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON345","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kklAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Construccion de edificios residenciales  incluye solamente la colocacion de tech","4.0","Construccion de edificios residenciales  incluye solamente la colocacion de techos impermeables.","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"CON346","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","COP","a8d220000000kkmAAA","false","","00522000004MjvzAAC","2022-12-12T01:05:03.000Z","","","Construccion de otras obras de ingenieria civil  incluye el dragado de vias de n","4.0","Construccion de otras obras de ingenieria civil  incluye el dragado de vias de navegacion.","00522000004MjvzAAC","2022-12-12T01:05:03.000Z"
"FAB784","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","COP","a8d220000000koIAAQ","false","","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","","","Fabricacion de otros productos quimicos n.c.p.  incluye fabricacion de preparado","3.0","Fabricacion de otros productos quimicos n.c.p.  incluye fabricacion de preparados y cargas para extintores.","00522000004MjvzAAC","2022-12-12T01:05:05.000Z"
"FAB785","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","COP","a8d220000000koJAAQ","false","","00522000004MjvzAAC","2022-12-12T01:05:05.000Z","","","Fabricacion de otros productos quimicos n.c.p.  incluye la extraccion y refinaci","4.0","Fabricacion de otros productos quimicos n.c.p.  incluye la extraccion y refinacion de aceites esenciales y resinoides  la fabricacion de aceites y grasas modificadas quimicamente.","00522000004MjvzAAC","2022-12-12T01:05:05.000Z"
